"con_V1","con_V2","con_V3","con_V4","con_V5","con_V6","con_V7","con_V8","con_V9","con_V10","cat_V11","cat_V12","cat_V13","cat_V14","cat_V15"
0.927844044740451,0.00471161012504665,0.384049907259002,3.13871302716715,2.09922883029543,1.2495899996887,2.32343993725647,2.14071736659903,3.63377220854719,3.01895482084261,"c","c","b","b","a"
0.71881251901498,0.577476416467899,-0.0646759859275773,1.74309631603057,-0.0717768570588229,0.391159099608972,2.6379553025455,1.97146802689626,3.70662876724007,4.18688761869877,"b","b","b","a","b"
-0.585763171462184,0.284598064925959,-1.06707044845698,1.4719648804623,2.73956555814752,1.88757725413182,2.91070741011188,2.21435710465467,3.76131529379255,4.58776203862392,"d","b","b","b","b"
0.0433133597714358,0.68637632280002,-1.28339260974589,-0.0288586996531202,0.278715839401773,2.29801775226752,2.1568055774393,1.26589830091607,0.917702483447597,2.46250666093024,"b","b","a","a","a"
-0.899102724752944,-0.450999227147057,-1.47028877973843,-0.471133918779656,-0.469813670826519,1.09903936114461,1.63500586122739,0.389572847760359,3.21635204277271,0.824568444850637,"a","c","b","a","a"
-1.23301266596052,-1.90055853270979,-2.00984975637815,-0.756748616359399,-0.15992110410995,0.259667504463761,-0.0504643616387859,0.182637973793607,2.07941892579227,1.54685876958729,"c","a","a","a","a"
0.382722698188662,-1.37372246399607,-0.535935163441506,0.111178083700003,1.14659570429823,2.15887952773544,1.08427442620551,2.77967713493283,3.12489845208572,2.04973004715631,"c","b","a","a","a"
0.44601393461605,0.338359187710436,0.470658039109986,1.01971706654371,1.25660951721556,1.8777737347443,3.20182049876801,2.42663395175045,4.28331233874608,4.59666354501103,"c","c","b","b","a"
-1.43322688620685,0.599044903044609,-1.44671633793686,1.17485654638699,0.0766404120909865,0.3104434337592,0.584646353469703,1.9440968751715,2.08284808975969,1.50273929590226,"a","a","b","a","a"
-1.06275310927209,-0.940353528060066,-1.08571611374205,-0.57449185161239,0.896224835452951,0.665358111443241,1.40574575167089,1.03550983390642,1.8166773088075,2.30339556858409,"d","c","a","a","a"
-0.0257858168546438,-0.458124171437441,0.328168798647454,1.01204955947493,1.53880700444323,1.38118439301955,1.84263342784049,1.65184957900378,4.78100726505915,3.22645968008653,"c","c","b","a","a"
1.79009222839313,1.76989706474621,0.426090525727444,2.1824181549006,1.97493319533013,1.84867336393081,3.93747816758169,2.54346693049605,4.11475510329695,4.29892236511522,"d","c","b","b","b"
-0.348797676435606,-0.263359479169914,-0.903172978022455,1.27925860414461,-0.202670347088246,-0.491742544193469,0.410226147158425,1.07198185786911,1.73610423152226,3.02791654643614,"a","b","b","b","a"
-0.99575550159336,-0.268800266089296,-1.4447192200054,1.0922538767166,-0.271030660737808,1.66771822947807,1.80430745760565,1.29823745001246,1.83689180639077,1.34605223329466,"a","a","a","a","a"
-0.678900632384672,-0.050616869409182,0.452427179954502,0.940670537246405,1.27622865396005,2.00708905655596,2.98397980617929,1.53142907246419,3.58550535071522,3.75540090555524,"c","a","b","b","a"
-0.220554725072279,0.352632213933169,0.0100336530733475,0.43646718828387,0.646371220782463,0.285491607915736,0.812981218899345,1.91023757794827,3.69972011265592,2.35904865476537,"a","b","a","a","a"
0.0775591691245218,-0.827676501060469,0.228201900386671,1.15421978522672,2.66641017274729,1.34785862452922,1.6829882447439,2.30401315124563,3.06055656646,2.62076962429556,"c","c","b","b","a"
-1.48912290315725,-0.445651722159715,-0.388114284262703,0.323964275855945,-0.415298684694568,1.56130521056201,2.40721093438959,2.47741229833126,2.42269874753804,1.38849199819669,"b","b","a","a","a"
1.60492549945572,-0.11157671872477,-0.694259000482262,1.17668702188749,0.784327349554933,1.67816806805651,2.28953798187665,2.35964351129388,2.97906562273719,2.49163135929957,"c","b","b","a","a"
